Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,churn
34,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium Family (RM 27.90/mo),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Once a week,"recommendations, Playlists, Radio",3,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,0
26,Male,More than 2 years,"Smartphone, Computer or laptop",Premium Duo (RM 24.50/mo),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Daily,"recommendations, Radio",5,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,0
14,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium Student (RM 9.50/mo),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,Daily,recommendations,5,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,0
34,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium Duo (RM 24.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",Daily,recommendations,5,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,0
31,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium Duo (RM 24.50/mo),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Daily,"recommendations, Playlists",4,Never,,,,,Satisfied,0
31,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium Duo (RM 24.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Once a week,"recommendations, Playlists",3,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,0
29,Male,More than 2 years,"Smartphone, Computer or laptop",Premium Family (RM 27.90/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Daily,"recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0
15,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),No,,Podcast,Melody,Afternoon,Uplifting and motivational,Rarely,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok,0
21,Others,1 year to 2 years,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy",Once a week,Others,3,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,0
27,Female,Less than 6 months,Smartphone,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Rarely,Playlists,1,Never,Lifestyle and Health,,Both,Longer,Satisfied,0
27,Female,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Rarely,"recommendations, Playlists",2,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,0
21,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",Daily,recommendations,4,Never,,,,,Ok,0
34,Male,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Once a week,"recommendations, Playlists, Radio",3,Never,,Story telling,,,Very Satisfied,0
23,Female,More than 2 years,"Smartphone, Computer or laptop",Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,Daily,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied,0
34,Male,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),No,,Music,classical,Night,Relaxation and stress relief,Daily,recommendations,4,Never,,,,,Ok,0
31,Male,More than 2 years,"Smartphone, Computer or laptop",Premium Individual (RM 17.50/mo),No,,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Daily,"recommendations, Playlists, Radio",4,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok,0
26,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium Student (RM 9.50/mo),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,Once a week,Playlists,3,Daily,Health and Fitness,Story telling,Both,Both,Satisfied,0
